1	250	0
2	280	0
3	299	0
4	213	0
5	211	0
6	585	0
7	229	20
8	578	0
9	298	0
10	254	5
11	236	20
11	269	15
12	277	0
13	267	0
14	353	0
15	579	0
16	256	10
17	231	10
18	316	0
18	343	10
18	344	10
19	332	0
20	273	0
21	326	0
22	327	0
23	254	0
24	234	15
25	279	0
26	209	0
27	243	0
28	304	0
29	310	0
29	318	0
29	319	0
29	320	0
29	337	0
29	338	0
30	246	0
31	269	0
32	226	0
33	306	0
34	577	0
35	238	15
36	254	25
36	255	25
37	255	30
38	255	30
39	429	0
40	292	0
41	209	10
42	290	15
42	294	35
42	300	30
43	329	10
43	331	10
44	356	0
45	215	10
45	224	12
46	277	5
47	293	0
48	214	45
48	215	45
49	535	0
50	384	10
51	544	20
52	527	0
53	545	40
54	430	75
55	390	0
56	391	0
57	537	20
58	365	170
58	384	35
59	376	0
60	365	165
60	384	40
61	365	160
61	384	45
62	428	0
63	427	0
64	422	0
65	586	0
66	574	0
67	426	0
68	573	0
69	389	0
70	498	0
71	528	250
72	388	0
73	538	40
74	494	0
75	219	0
76	201	65
77	587	0
78	381	15
78	382	40
79	249	0
80	538	25
81	366	0
82	403	0
83	385	0
84	538	0
85	384	0
86	371	0
86	383	10
87	552	0
88	589	0
89	566	0
90	122	50
90	123	60
90	555	30
90	559	60
91	561	0
92	379	0
93	378	5
94	374	0
95	403	10
96	396	0
97	545	30
98	415	380
98	531	285
99	392	0
100	363	0
101	364	0
102	400	0
103	133	20
104	133	35
105	133	25
106	361	35
107	570	0
108	367	0
109	368	0
110	385	50
111	385	40
112	538	60
113	370	0
114	369	0
115	553	0
116	552	40
117	589	45
118	560	0
119	566	20
120	566	30
121	566	35
122	90	50
123	90	60
124	571	0
125	540	65
125	541	65
126	365	25
126	384	185
127	362	0
128	541	0
129	361	50
130	385	0
131	365	100
131	384	105
132	399	0
133	103	20
133	104	35
133	105	25
133	394	30
133	418	50
134	561	40
134	562	25
201	76	65
201	202	50
202	201	50
202	203	60
202	228	70
203	202	60
203	204	10
203	205	10
204	203	10
204	205	10
204	212	11
205	203	10
205	204	10
205	206	65
206	205	65
206	207	45
206	357	150
207	206	45
207	208	20
208	207	20
208	209	15
208	210	95
209	26	0
209	41	10
209	208	15
210	208	95
210	211	90
210	240	8
211	5	0
211	210	90
212	204	11
212	213	20
212	214	40
213	4	0
213	212	20
214	48	45
214	212	40
214	215	90
214	216	70
215	45	10
215	48	45
215	214	90
215	223	20
215	223	20
215	224	30
216	214	70
216	217	95
216	239	85
216	575	30
217	216	95
217	218	10
217	253	45
218	217	10
218	219	10
219	75	0
219	218	10
219	220	10
219	222	13
220	219	10
221	222	10
222	219	13
222	221	10
222	223	15
223	215	20
223	215	20
223	222	15
224	45	12
224	215	30
224	225	10
224	228	10
225	224	10
225	226	10
226	32	0
226	225	10
226	227	10
227	226	10
227	228	10
228	202	70
228	224	10
228	227	10
229	7	20
229	230	20
229	233	5
229	240	140
